county,date,icu_avail,icu_total,med_avail,med_total,ped_avail,ped_total,pic_avail,pic_total,covid_patients,covid_vents,vents_use,vents,icu_avail_mean,icu_total_mean,med_avail_mean,med_total_mean,ped_avail_mean,ped_total_mean,pic_avail_mean,pic_total_mean,covid_patients_mean,covid_vents_mean,vents_use_mean,vents_mean,icu_percent,med_percent,ped_percent,pic_percent,covid_icu,covid_icu_mean,county_fips,latitude,longitude
Clearfield,2020-04-01T00:00:00Z,0,26,36,91,7,10,0,0,0,0,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39.6,70,NA,NA,NA,42033,41.000429,-78.47558343
Clinton,2020-04-01T00:00:00Z,0,0,18,23,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.3,NA,NA,NA,NA,42035,41.23286274,-77.642837599999993
Allegheny,2020-04-01T00:00:00Z,280,782,1398,3031,146,227,13,48,53,22,140,756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,46.1,64.3,27.1,NA,NA,42003,40.46735543,-79.98619843
Bucks,2020-04-01T00:00:00Z,55,98,406,640,29,32,0,0,27,6,26,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,63.4,90.6,NA,NA,NA,42017,40.33501133,-75.11291241
Bedford,2020-04-01T00:00:00Z,4,4,30,40,0,0,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,75,NA,NA,NA,NA,42009,40.00737536,-78.49116474
Cameron,2020-04-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42023,41.43880265,-78.20916932
Carbon,2020-04-01T00:00:00Z,1,6,10,40,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,25,NA,NA,NA,NA,42025,40.91936701,-75.71107039
Blair,2020-04-01T00:00:00Z,70,146,166,273,7,12,0,0,6,0,15,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,60.8,58.3,NA,NA,NA,42013,40.48555024,-78.34907687
Cumberland,2020-04-01T00:00:00Z,29,55,113,350,0,4,0,0,6,1,10,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,32.3,0,NA,NA,NA,42041,40.16759839,-77.26866271
Dauphin,2020-04-01T00:00:00Z,49,126,154,495,15,60,5,18,22,9,54,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,31.1,25,27.8,NA,NA,42043,40.41974636,-76.77960568
Jefferson,2020-04-01T00:00:00Z,2,5,33,58,0,0,0,0,0,0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,56.9,NA,NA,NA,NA,42065,41.13139091,-79.00101814
Franklin,2020-04-01T00:00:00Z,17,34,103,182,2,6,0,0,1,0,4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,56.6,33.3,NA,NA,NA,42055,39.92786197,-77.72398845
Delaware,2020-04-01T00:00:00Z,21,79,213,418,2,4,0,0,29,19,63,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,51,50,NA,NA,NA,42045,39.91657867,-75.40627712
Juniata,2020-04-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42067,40.53433008,-77.405775
Erie,2020-04-01T00:00:00Z,60,140,313,553,13,20,0,0,2,0,34,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,56.6,65,NA,NA,NA,42049,41.99413787,-80.0407591
Indiana,2020-04-01T00:00:00Z,6,12,47,94,0,0,0,0,1,0,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,NA,NA,NA,NA,42063,40.65295497,-79.09333493
Greene,2020-04-01T00:00:00Z,0,0,9,18,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,42059,39.85480393,-80.22943817
Columbia,2020-04-01T00:00:00Z,13,14,28,38,0,0,0,0,0,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.9,73.7,NA,NA,NA,NA,42037,41.04912086,-76.4100218
Fulton,2020-04-01T00:00:00Z,0,0,15,21,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4,NA,NA,NA,NA,42057,39.92487511,-78.11485045
Huntingdon,2020-04-01T00:00:00Z,5,7,42,50,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4,84,NA,NA,NA,NA,42061,40.416105,-77.9827661
Forest,2020-04-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42053,41.51357876,-79.23780995
Elk,2020-04-01T00:00:00Z,1,1,3,16,2,2,0,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,18.8,100,NA,NA,NA,42047,41.42819416,-78.64947713
Crawford,2020-04-01T00:00:00Z,12,18,92,138,6,6,0,0,0,0,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,66.7,100,NA,NA,NA,42039,41.68546907,-80.11321083
Lawrence,2020-04-01T00:00:00Z,5,12,47,91,0,0,0,0,2,1,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,51.6,NA,NA,NA,NA,42073,40.99325035,-80.33754114
Mifflin,2020-04-01T00:00:00Z,21,39,30,58,0,0,0,0,0,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8,51.7,NA,NA,NA,NA,42087,40.61274928,-77.62003089
Northampton,2020-04-01T00:00:00Z,9,30,125,229,0,0,0,0,19,12,12,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,54.6,NA,NA,NA,NA,42095,40.7545954,-75.31263726
Lackawanna,2020-04-01T00:00:00Z,10,70,155,427,6,22,0,0,20,7,17,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,36.3,27.3,NA,NA,NA,42069,41.43910064,-75.61218345
Monroe,2020-04-01T00:00:00Z,13,36,132,254,16,16,0,0,52,13,19,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,52,100,NA,NA,NA,42089,41.06091787,-75.34083603
Mercer,2020-04-01T00:00:00Z,22,34,256,323,0,0,0,0,0,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.7,79.3,NA,NA,NA,NA,42085,41.30237777,-80.26009411
McKean,2020-04-01T00:00:00Z,5,10,31,38,22,29,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,81.6,75.9,NA,NA,NA,42083,41.81037074,-78.5712202
Lebanon,2020-04-01T00:00:00Z,6,17,33,98,0,0,0,0,7,4,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,33.7,NA,NA,NA,NA,42075,40.367597,-76.46182575
Luzerne,2020-04-01T00:00:00Z,21,93,124,385,6,7,0,0,20,5,21,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,32.2,85.7,NA,NA,NA,42079,41.17836439,-75.9919961
