county,date,icu_avail,icu_total,med_avail,med_total,ped_avail,ped_total,pic_avail,pic_total,covid_patients,covid_vents,vents_use,vents,icu_avail_mean,icu_total_mean,med_avail_mean,med_total_mean,ped_avail_mean,ped_total_mean,pic_avail_mean,pic_total_mean,covid_patients_mean,covid_vents_mean,vents_use_mean,vents_mean,icu_percent,med_percent,ped_percent,pic_percent,covid_icu,covid_icu_mean,county_fips,latitude,longitude
Blair,2020-08-22T00:00:00Z,11,141,89,241,0,12,0,0,14,3,19,35,17.1,140.9,78,240,0.3,12,0,0,13.4,3.5,18.3,28.7,7.8,36.9,0,NA,NA,NA,42013,40.48555024,-78.34907687
Centre,2020-08-22T00:00:00Z,9,24,31,131,4,6,0,0,0,0,0,0,8.8,24,40.5,131,5.4,6,0,0,0,0,0,0,37.5,23.7,66.7,NA,NA,NA,42027,40.9193135,-77.82500112
Clarion,2020-08-22T00:00:00Z,2,5,15,25,0,0,0,0,0,0,0,0,2.6,5,14.1,25,0,0,0,0,0,0,0,0,40,60,NA,NA,NA,NA,42031,41.19279129,-79.42483608
Armstrong,2020-08-22T00:00:00Z,7,12,41,81,0,0,0,0,3,0,0,6,7.6,12,46.9,81,0,0,0,0,3.3,0,0.1,6,58.3,50.6,NA,NA,NA,NA,42005,40.81509526,-79.47316899
Butler,2020-08-22T00:00:00Z,16,19,108,117,0,0,0,0,2,1,2,28,13.9,15.2,91.6,131.5,0,0,0,0,1.9,0.6,5.8,26.2,84.2,92.3,NA,NA,NA,NA,42019,40.91083185,-79.91711779
Cambria,2020-08-22T00:00:00Z,1,25,87,273,6,7,0,0,11,2,17,57,5.8,25,86.6,284,6.4,7,0,0,9.6,1.1,13.1,57,4,31.9,85.7,NA,NA,NA,42021,40.49127491,-78.71894174
Clinton,2020-08-22T00:00:00Z,0,0,14,29,0,0,0,0,0,0,0,0,0,0,21.5,28.9,0,0,0,0,0,0,0,0,NA,48.3,NA,NA,NA,NA,42035,41.23286274,-77.642837599999993
Columbia,2020-08-22T00:00:00Z,14,12,25,34,0,0,0,0,0,0,0,9,10.7,13.1,23.5,33.1,0,0,0,0,0,0,0,9,116.7,73.5,NA,NA,NA,NA,42037,41.04912086,-76.4100218
Franklin,2020-08-22T00:00:00Z,17,34,95,219,6,6,0,0,4,0,4,25,14.8,34,66.9,219,5.6,6,0,0,3.1,0.4,4.1,25,50,43.4,100,NA,NA,NA,42055,39.92786197,-77.72398845
Huntingdon,2020-08-22T00:00:00Z,5,7,45,57,0,0,0,0,0,0,0,0,6.6,7,41,50.5,0,0,0,0,0,0,0,0,71.4,78.9,NA,NA,NA,NA,42061,40.416105,-77.9827661
Dauphin,2020-08-22T00:00:00Z,36,178,34,518,4,60,5,18,7,2,23,65,48.4,180.4,32.1,514.4,7.5,61.4,2.5,18,8.6,3.9,28.4,65,20.2,6.6,6.7,27.8,NA,NA,42043,40.41974636,-76.77960568
Greene,2020-08-22T00:00:00Z,0,0,13,23,0,0,0,0,0,0,0,5,0,0,4,13.9,0,0,0,0,0,0,0,5,NA,56.5,NA,NA,NA,NA,42059,39.85480393,-80.22943817
Jefferson,2020-08-22T00:00:00Z,2,5,38,60,0,0,0,0,0,0,0,17,2.9,5,35.3,60,0,0,0,0,0,0,0,17,40,63.3,NA,NA,NA,NA,42065,41.13139091,-79.00101814
Fulton,2020-08-22T00:00:00Z,0,0,11,21,0,0,0,0,0,0,0,2,0,0,13.4,21,0,0,0,0,0,0,0,2,NA,52.4,NA,NA,NA,NA,42057,39.92487511,-78.11485045
Elk,2020-08-22T00:00:00Z,5,7,3,19,0,0,0,0,0,0,0,5,4.6,7,6.1,19,0,0,0,0,0.4,0,0,5,71.4,15.8,NA,NA,NA,NA,42047,41.42819416,-78.64947713
Forest,2020-08-22T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42053,41.51357876,-79.23780995
Fayette,2020-08-22T00:00:00Z,4,15,47,105,0,0,0,0,3,0,3,28,6.6,15,51.1,103,0,0,0,0,4.5,0.3,3.4,28,26.7,44.8,NA,NA,NA,NA,42051,39.9194478,-79.65189635
Crawford,2020-08-22T00:00:00Z,9,18,70,138,6,6,0,0,1,1,2,24,6.9,18,62.1,138,3.9,6,0,0,3.8,2.1,0.7,10.5,50,50.7,100,NA,NA,NA,42039,41.68546907,-80.11321083
Cumberland,2020-08-22T00:00:00Z,42,101,35,355,0,4,0,0,2,0,14,56,45.3,101.2,32.7,356.6,0,4,0,0,6.9,1.4,12.5,56,41.6,9.9,0,NA,NA,NA,42041,40.16759839,-77.26866271
Delaware,2020-08-22T00:00:00Z,19,77,121,523,3,8,0,0,12,2,47,160,14.3,73.2,96.9,516.4,1.6,7.4,0,0,23.6,3.4,42.7,160,24.7,23.1,37.5,NA,NA,NA,42045,39.91657867,-75.40627712
Erie,2020-08-22T00:00:00Z,31,171,110,568,10,19,0,0,14,2,43,143,33.8,165.3,122.5,558.8,8.8,19.2,0,0,12.3,2.8,37.7,143,18.1,19.4,52.6,NA,NA,NA,42049,41.99413787,-80.0407591
Indiana,2020-08-22T00:00:00Z,3,12,47,102,0,0,0,0,4,2,3,23,3.7,12,45.9,102,0,0,0,0,5.4,1.6,4.4,23,25,46.1,NA,NA,NA,NA,42063,40.65295497,-79.09333493
Juniata,2020-08-22T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42067,40.53433008,-77.405775
Mifflin,2020-08-22T00:00:00Z,6,10,34,87,0,0,0,0,0,0,1,15,9.9,18.3,35.9,78.7,0,0,0,0,1.9,0,0.4,15,60,39.1,NA,NA,NA,NA,42087,40.61274928,-77.62003089
Lebanon,2020-08-22T00:00:00Z,5,18,42,105,0,0,0,0,4,1,2,12,5.3,17.9,37.4,106.2,0,0,0,0,2.9,0.6,3.1,12,27.8,40,NA,NA,NA,NA,42075,40.367597,-76.46182575
Montour,2020-08-22T00:00:00Z,14,124,7,267,1,36,3,14,9,1,33,186,15.9,122.3,23.4,267,11.1,36,6.1,14,9.3,1.6,33.1,186,11.3,2.6,2.8,21.4,NA,NA,42093,41.02801824,-76.66470527
Northampton,2020-08-22T00:00:00Z,7,21,34,180,0,0,0,0,2,1,0,1,7.9,21,35.6,173.9,0,0,0,0,2.2,0.2,0,0.9,33.3,18.9,NA,NA,NA,NA,42095,40.7545954,-75.31263726
Luzerne,2020-08-22T00:00:00Z,7,59,39,393,7,7,0,0,5,0,23,120,11,61.4,47.1,381.7,4.4,7,0,0,5.1,0.2,15.1,119.2,11.9,9.9,100,NA,NA,NA,42079,41.17836439,-75.9919961
Monroe,2020-08-22T00:00:00Z,5,36,9,240,0,16,0,0,8,1,6,24,4.3,34.3,21.7,229,0.1,14.9,0,0,5.9,1,3.8,22.9,13.9,3.8,0,NA,NA,NA,42089,41.06091787,-75.34083603
Lackawanna,2020-08-22T00:00:00Z,4,47,18,367,11,22,0,0,3,1,5,41,7.7,50.9,18.9,367,10,22,0,0,4.4,0.3,5,41,8.5,4.9,50,NA,NA,NA,42069,41.43910064,-75.61218345
Mercer,2020-08-22T00:00:00Z,12,34,208,315,0,0,0,0,9,1,3,28,17.1,34,215.1,313.7,0,0,0,0,5.9,1.6,2.6,28,35.3,66,NA,NA,NA,NA,42085,41.30237777,-80.26009411
Montgomery,2020-08-22T00:00:00Z,115,340,360,1451,27,35,0,0,42,5,58,335,125.4,336.8,347.4,1368.1,23.4,27.3,0,0,45.7,3.4,47.9,322.8,33.8,24.8,77.1,NA,NA,NA,42091,40.20989874,-75.37252001
Lycoming,2020-08-22T00:00:00Z,8,56,88,210,1,7,0,0,8,1,4,46,10.2,55.4,102,206.3,1.9,6.6,0,0,4.6,0.2,5.6,49.4,14.3,41.9,14.3,NA,NA,NA,42081,41.34459792,-77.06942457
Lancaster,2020-08-22T00:00:00Z,16,91,151,534,25,29,0,0,17,2,14,169,18.7,89.7,142.4,533.3,17.6,23.2,0,0,25.4,4,17.5,170.9,17.6,28.3,86.2,NA,NA,NA,42071,40.04590796,-76.25138768
Lawrence,2020-08-22T00:00:00Z,6,12,43,110,0,0,0,0,8,1,1,10,5.7,11.3,48.4,112.5,0,0,0,0,3.2,0.6,1.4,10,50,39.1,NA,NA,NA,NA,42073,40.99325035,-80.33754114
McKean,2020-08-22T00:00:00Z,5,10,24,38,15,29,0,0,0,0,0,8,4,10,23.4,38,15.4,29,0,0,0,0,0.4,8,50,63.2,51.7,NA,NA,NA,42083,41.81037074,-78.5712202
Lehigh,2020-08-22T00:00:00Z,22,172,124,1124,26,89,3,13,22,2,59,236,16.1,165.1,102.4,1082.6,22.2,85.4,3.9,12.4,27.9,4.6,56.4,226.1,12.8,11,29.2,23.1,NA,NA,42077,40.61464794,-75.60099481
Northumberland,2020-08-22T00:00:00Z,1,7,16,40,0,0,0,0,5,0,0,4,2.9,7,18.1,40,0,0,0,0,0.8,0.1,0,4,14.3,40,NA,NA,NA,NA,42097,40.85150926,-76.71188423
Potter,2020-08-22T00:00:00Z,2,6,29,39,0,0,0,0,0,0,4,4,2.7,6,27.7,39,0,0,0,0,0,0,4,4,33.3,74.4,NA,NA,NA,NA,42105,41.74420644,-77.89879229
Perry,2020-08-22T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42099,40.40415317,-77.25907385
Schuylkill,2020-08-22T00:00:00Z,8,16,26,123,7,9,0,0,0,0,0,10,2.7,15.3,22.1,117.3,7,8.4,0,0,1,0,1.7,9.5,50,21.1,77.8,NA,NA,NA,42107,40.70751243,-76.22332385
Snyder,2020-08-22T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42109,40.77113737,-77.07255968
Philadelphia,2020-08-22T00:00:00Z,152,779,556,3805,51,89,31,252,92,10,309,1322,149.3,778.9,535,3768.4,45.2,84.3,28.9,251.2,106.1,11,303,1321.6,19.5,14.6,57.3,12.3,NA,NA,42101,40.00444354,-75.140236
Somerset,2020-08-22T00:00:00Z,34,46,109,136,0,0,0,0,0,0,0,2,31,46,106,136,0,0,0,0,0.1,0,0,2,73.9,80.1,NA,NA,NA,NA,42111,39.97146299,-79.03100206
Pike,2020-08-22T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42103,41.332572,-75.03270924
Wyoming,2020-08-22T00:00:00Z,0,0,10,10,0,0,0,0,0,0,0,5,3.4,3.4,24.9,26,0,0,0,0,0,0,0,5,NA,100,NA,NA,NA,NA,42131,41.51892488,-76.01813003
Sullivan,2020-08-22T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42113,41.4480994,-76.5147922
Union,2020-08-22T00:00:00Z,1,9,7,62,8,8,0,0,8,0,0,35,1.4,9.9,13.1,62,8,8,0,0,7.3,0,0.1,27.5,11.1,11.3,100,NA,NA,NA,42119,40.96473131,-77.06415803
Venango,2020-08-22T00:00:00Z,25,47,30,60,0,0,0,0,2,0,0,13,22.1,46.6,31.1,59.9,0,0,0,0,1.7,0,0.1,13,53.2,50,NA,NA,NA,NA,42121,41.40341259,-79.76286561
Washington,2020-08-22T00:00:00Z,6,26,58,247,0,0,0,0,4,0,13,61,8.4,32.1,70.3,248.2,0,0,0,0,3.6,0.2,7.7,60.4,23.1,23.5,NA,NA,NA,NA,42125,40.19109663,-80.25180083
Susquehanna,2020-08-22T00:00:00Z,0,0,18,46,0,0,0,0,1,0,0,2,0,0,18.7,46,0,0,0,0,0.1,0,0,1.4,NA,39.1,NA,NA,NA,NA,42115,41.8205686,-75.80250303
Tioga,2020-08-22T00:00:00Z,3,6,29,46,0,0,0,0,0,0,0,0,2.5,6,30.8,46,0,0,0,0,0,0,0,0,50,63,NA,NA,NA,NA,42117,41.77333834,-77.25788076
Wayne,2020-08-22T00:00:00Z,1,8,13,25,0,0,0,0,1,0,2,8,2.9,8,10.1,25,0,0,0,0,0.4,0,1.9,8,12.5,52,NA,NA,NA,NA,42127,41.64969805,-75.3051535
Warren,2020-08-22T00:00:00Z,0,6,5,18,0,0,0,0,0,0,0,0,0,6,3.5,19.3,0,0,0,0,0,0,0,0,0,27.8,NA,NA,NA,NA,42123,41.81675237,-79.27858158
Westmoreland,2020-08-22T00:00:00Z,42,79,86,343,0,0,0,0,2,1,12,89,42,79,70.5,343,0,0,0,0,7.2,0.9,8.8,89,53.2,25.1,NA,NA,NA,NA,42129,40.310315,-79.47134118
York,2020-08-22T00:00:00Z,24,101,61,513,13,19,0,0,23,4,28,93,18.1,105.1,50.9,516.8,14.1,19,0,0,32,5.4,32.6,93,23.8,11.9,68.4,NA,NA,NA,42133,39.92192531,-76.72576052
Blair,2020-08-23T00:00:00Z,16,141,97,239,0,12,0,0,14,3,19,35,16.6,140.9,77.9,240,0.3,12,0,0,14.4,3.7,19.6,31,11.3,40.6,0,NA,NA,NA,42013,40.48555024,-78.34907687
Bucks,2020-08-23T00:00:00Z,46,78,317,739,14,19,0,0,3,0,10,101,42.8,78,277.6,739,16,19,0,0,1.8,0,11.9,101,59,42.9,73.7,NA,NA,NA,42017,40.33501133,-75.11291241
Berks,2020-08-23T00:00:00Z,14,51,135,524,16,24,0,0,25,3,24,143,17.6,58.5,89,534.9,19.1,24.7,0,0,24.8,4.8,25.3,143,27.5,25.8,66.7,NA,NA,NA,42011,40.41939635,-75.93077327
Butler,2020-08-23T00:00:00Z,16,16,105,120,0,0,0,0,2,1,3,28,13.9,15.3,91.9,131.1,0,0,0,0,1.9,0.7,5.3,26.6,100,87.5,NA,NA,NA,NA,42019,40.91083185,-79.91711779
Bedford,2020-08-23T00:00:00Z,4,4,32,41,0,0,0,0,0,0,0,8,4,4,27.2,41,0,0,0,0,0.2,0,0,8,100,78,NA,NA,NA,NA,42009,40.00737536,-78.49116474
Cambria,2020-08-23T00:00:00Z,1,25,87,273,6,7,0,0,11,2,17,57,5.3,25,86.3,282.4,6.3,7,0,0,9.8,1.2,13.3,57,4,31.9,85.7,NA,NA,NA,42021,40.49127491,-78.71894174
Clinton,2020-08-23T00:00:00Z,0,0,17,29,0,0,0,0,0,0,0,0,0,0,21.1,28.9,0,0,0,0,0,0,0,0,NA,58.6,NA,NA,NA,NA,42035,41.23286274,-77.642837599999993
Chester,2020-08-23T00:00:00Z,57,102,139,556,9,11,0,0,7,2,13,124,45.3,108.3,140.9,580.4,8.7,11,0,0,12.9,2.8,12.5,115.2,55.9,25,81.8,NA,NA,NA,42029,39.97487056,-75.75626498
Carbon,2020-08-23T00:00:00Z,4,6,6,40,0,0,0,0,1,0,0,4,2.1,6,10.2,40,0,0,0,0,0.9,0,0,4,66.7,15,NA,NA,NA,NA,42025,40.91936701,-75.71107039
Clarion,2020-08-23T00:00:00Z,2,5,13,25,0,0,0,0,0,0,0,0,2.6,5,13.9,25,0,0,0,0,0,0,0,0,40,52,NA,NA,NA,NA,42031,41.19279129,-79.42483608
Cameron,2020-08-23T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42023,41.43880265,-78.20916932
Bradford,2020-08-23T00:00:00Z,12,38,27,212,0,0,0,0,2,0,5,26,14.9,38,35.1,212,0,0,0,0,1.4,0,5.8,26,31.6,12.7,NA,NA,NA,NA,42015,41.79117814,-76.51825624
Centre,2020-08-23T00:00:00Z,11,24,19,131,6,6,0,0,0,0,0,0,8.8,24,37.1,131,5.4,6,0,0,0,0,0,0,45.8,14.5,100,NA,NA,NA,42027,40.9193135,-77.82500112
Armstrong,2020-08-23T00:00:00Z,7,12,41,81,0,0,0,0,3,0,0,6,7.5,12,46.6,81,0,0,0,0,3.3,0,0.1,6,58.3,50.6,NA,NA,NA,NA,42005,40.81509526,-79.47316899
Clearfield,2020-08-23T00:00:00Z,7,28,3,75,1,6,0,0,2,1,3,17,4,25.9,14.8,83.1,2.6,7.5,0,0,1.1,1,3.1,17,25,4,16.7,NA,NA,NA,42033,41.000429,-78.47558343
Adams,2020-08-23T00:00:00Z,7,10,16,60,0,0,0,0,1,0,1,4,3.2,9.6,4.2,60.1,0,0,0,0,0.8,0,1,4,70,26.7,NA,NA,NA,NA,42001,39.87209565,-77.22224271
Allegheny,2020-08-23T00:00:00Z,112,806,839,3216,94,244,11,48,88,20,210,819,115.4,798.9,671.9,3259.4,60.5,243.8,7.8,47.9,105.7,24.2,209.8,816.9,13.9,26.1,38.5,22.9,NA,NA,42003,40.46735543,-79.98619843
Beaver,2020-08-23T00:00:00Z,4,20,12,101,0,0,0,0,6,3,0,0,3.1,19.1,14,104.8,0,0,0,0,5.3,2.2,0,0,20,11.9,NA,NA,NA,NA,42007,40.68349245,-80.35107356
Greene,2020-08-23T00:00:00Z,0,0,13,23,0,0,0,0,0,0,0,5,0,0,4.1,14.6,0,0,0,0,0,0,0,5,NA,56.5,NA,NA,NA,NA,42059,39.85480393,-80.22943817
Delaware,2020-08-23T00:00:00Z,14,73,141,525,3,8,0,0,15,2,48,160,14.5,73.2,98.4,518.8,1.8,7.4,0,0,22.8,3.1,43.1,160,19.2,26.9,37.5,NA,NA,NA,42045,39.91657867,-75.40627712
Erie,2020-08-23T00:00:00Z,36,167,163,572,13,19,0,0,12,1,42,143,33.4,165.5,124,562.3,9.4,19.2,0,0,12.4,2.6,38.6,143,21.6,28.5,68.4,NA,NA,NA,42049,41.99413787,-80.0407591
Indiana,2020-08-23T00:00:00Z,7,12,50,102,0,0,0,0,4,1,3,23,3.9,12,46.8,102,0,0,0,0,5.3,1.6,4.4,23,58.3,49,NA,NA,NA,NA,42063,40.65295497,-79.09333493
Jefferson,2020-08-23T00:00:00Z,2,5,38,60,0,0,0,0,0,0,0,17,3,5,35.6,60,0,0,0,0,0,0,0,17,40,63.3,NA,NA,NA,NA,42065,41.13139091,-79.00101814
Fulton,2020-08-23T00:00:00Z,0,0,16,21,0,0,0,0,0,0,0,2,0,0,13.4,21,0,0,0,0,0,0,0,2,NA,76.2,NA,NA,NA,NA,42057,39.92487511,-78.11485045
Forest,2020-08-23T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42053,41.51357876,-79.23780995
Dauphin,2020-08-23T00:00:00Z,36,178,32,519,0,60,3,18,8,2,22,65,47,179.9,30.9,515.5,6.6,61.1,2.6,18,8.5,3.7,28.2,65,20.2,6.2,0,16.7,NA,NA,42043,40.41974636,-76.77960568
Huntingdon,2020-08-23T00:00:00Z,5,7,46,57,0,0,0,0,0,0,0,0,6.5,7,41.4,51,0,0,0,0,0,0,0,0,71.4,80.7,NA,NA,NA,NA,42061,40.416105,-77.9827661
Crawford,2020-08-23T00:00:00Z,9,18,77,138,6,6,0,0,2,2,2,24,6.6,18,62.6,138,3.9,6,0,0,3.6,2.3,0.9,12,50,55.8,100,NA,NA,NA,42039,41.68546907,-80.11321083
Cumberland,2020-08-23T00:00:00Z,49,101,65,383,0,4,0,0,9,0,14,56,45.2,101.2,34,358.6,0,4,0,0,6.9,1.3,12.5,56,48.5,17,0,NA,NA,NA,42041,40.16759839,-77.26866271
Elk,2020-08-23T00:00:00Z,7,7,6,19,0,0,0,0,0,0,0,5,4.8,7,6.1,19,0,0,0,0,0.4,0,0,5,100,31.6,NA,NA,NA,NA,42047,41.42819416,-78.64947713
Fayette,2020-08-23T00:00:00Z,4,15,49,105,0,0,0,0,2,0,3,28,6.4,15,51,103.4,0,0,0,0,4.2,0.3,3.3,28,26.7,46.7,NA,NA,NA,NA,42051,39.9194478,-79.65189635
Columbia,2020-08-23T00:00:00Z,13,12,21,31,0,0,0,0,2,0,0,9,10.9,13,23.4,33,0,0,0,0,0.1,0,0,9,108.3,67.7,NA,NA,NA,NA,42037,41.04912086,-76.4100218
Franklin,2020-08-23T00:00:00Z,16,34,107,219,6,6,0,0,4,0,4,25,14.9,34,68.9,219,5.6,6,0,0,3.1,0.2,3.6,25,47.1,48.9,100,NA,NA,NA,42055,39.92786197,-77.72398845
Mifflin,2020-08-23T00:00:00Z,8,10,30,87,0,0,0,0,0,0,1,15,10.1,18.3,34.9,78.7,0,0,0,0,1.8,0,0.4,15,80,34.5,NA,NA,NA,NA,42087,40.61274928,-77.62003089
Lebanon,2020-08-23T00:00:00Z,5,18,28,99,0,0,0,0,4,2,2,12,5.2,17.9,36.9,105.6,0,0,0,0,3.1,0.7,3,12,27.8,28.3,NA,NA,NA,NA,42075,40.367597,-76.46182575
Lehigh,2020-08-23T00:00:00Z,23,172,132,1083,23,89,6,13,22,3,55,236,16.4,165.1,102.9,1079.6,21.9,85.4,4,12.4,27.7,4.3,56.3,226.9,13.4,12.2,25.8,46.2,NA,NA,42077,40.61464794,-75.60099481
Lancaster,2020-08-23T00:00:00Z,19,92,155,533,26,29,0,0,19,2,13,169,18.8,89.9,141.6,533.1,18.7,23.9,0,0,25,3.9,17.3,170.7,20.7,29.1,89.7,NA,NA,NA,42071,40.04590796,-76.25138768
Lawrence,2020-08-23T00:00:00Z,6,12,47,109,0,0,0,0,8,1,1,10,5.4,11.4,48.1,112.2,0,0,0,0,3.8,0.6,1.4,10,50,43.1,NA,NA,NA,NA,42073,40.99325035,-80.33754114
McKean,2020-08-23T00:00:00Z,5,10,24,38,15,29,0,0,0,0,0,8,4.2,10,23.8,38,15.4,29,0,0,0,0,0.4,8,50,63.2,51.7,NA,NA,NA,42083,41.81037074,-78.5712202
Montour,2020-08-23T00:00:00Z,20,124,17,267,5,36,7,14,8,1,33,186,15.9,122.3,23.5,267,10.9,36,6.1,14,9.4,1.6,32.7,186,16.1,6.4,13.9,50,NA,NA,42093,41.02801824,-76.66470527
Montgomery,2020-08-23T00:00:00Z,130,342,395,1469,27,35,0,0,35,6,51,335,122.9,336.9,341.9,1370.3,22.9,27.3,0,0,44.6,3.6,47.8,326.9,38,26.9,77.1,NA,NA,NA,42091,40.20989874,-75.37252001
Monroe,2020-08-23T00:00:00Z,6,36,17,240,0,16,0,0,7,1,6,24,4.5,34.3,21.4,229,0.1,14.9,0,0,5.9,1,4,22.9,16.7,7.1,0,NA,NA,NA,42089,41.06091787,-75.34083603
Northampton,2020-08-23T00:00:00Z,7,21,27,165,0,0,0,0,2,1,0,1,7.8,21,35.3,173.2,0,0,0,0,2.4,0.3,0,0.9,33.3,16.4,NA,NA,NA,NA,42095,40.7545954,-75.31263726
Luzerne,2020-08-23T00:00:00Z,14,59,31,390,6,7,0,0,5,1,22,120,11.6,61.9,45.1,382.6,4.4,7,0,0,4.7,0.2,15.7,119.2,23.7,7.9,85.7,NA,NA,NA,42079,41.17836439,-75.9919961
Juniata,2020-08-23T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42067,40.53433008,-77.405775
Mercer,2020-08-23T00:00:00Z,16,34,214,315,0,0,0,0,9,1,2,28,16.9,34,214.3,313.8,0,0,0,0,6.4,1.5,2.6,28,47.1,67.9,NA,NA,NA,NA,42085,41.30237777,-80.26009411
Lackawanna,2020-08-23T00:00:00Z,6,47,20,367,11,22,0,0,5,1,5,41,7.6,50.9,19.1,367,10,22,0,0,4.6,0.4,5,41,12.8,5.4,50,NA,NA,NA,42069,41.43910064,-75.61218345
Lycoming,2020-08-23T00:00:00Z,5,56,93,210,1,7,0,0,8,1,4,46,9.9,55.4,101.5,206.4,1.9,6.6,0,0,4.9,0.3,5.4,49.1,8.9,44.3,14.3,NA,NA,NA,42081,41.34459792,-77.06942457
Snyder,2020-08-23T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42109,40.77113737,-77.07255968
Pike,2020-08-23T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42103,41.332572,-75.03270924
Northumberland,2020-08-23T00:00:00Z,4,7,17,40,0,0,0,0,5,0,0,4,3,7,17.7,40,0,0,0,0,1.1,0.1,0,4,57.1,42.5,NA,NA,NA,NA,42097,40.85150926,-76.71188423
Perry,2020-08-23T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42099,40.40415317,-77.25907385
Potter,2020-08-23T00:00:00Z,2,6,29,39,0,0,0,0,0,0,4,4,2.6,6,27.4,39,0,0,0,0,0,0,4,4,33.3,74.4,NA,NA,NA,NA,42105,41.74420644,-77.89879229
Philadelphia,2020-08-23T00:00:00Z,169,779,613,3805,47,85,28,248,87,5,315,1322,151.8,778.9,536.4,3770.4,45.5,84.4,29.2,251.2,104.2,10.6,303.1,1321.6,21.7,16.1,55.3,11.3,NA,NA,42101,40.00444354,-75.140236
Somerset,2020-08-23T00:00:00Z,34,46,111,136,0,0,0,0,0,0,0,2,31.1,46,106.1,136,0,0,0,0,0.1,0,0,2,73.9,81.6,NA,NA,NA,NA,42111,39.97146299,-79.03100206
Schuylkill,2020-08-23T00:00:00Z,2,16,29,123,7,9,0,0,0,0,0,10,2.8,15.3,22.7,117.3,6.9,8.4,0,0,0.9,0,1.5,9.5,12.5,23.6,77.8,NA,NA,NA,42107,40.70751243,-76.22332385
Susquehanna,2020-08-23T00:00:00Z,0,0,25,46,0,0,0,0,1,0,0,2,0,0,19.6,46,0,0,0,0,0.1,0,0,1.6,NA,54.3,NA,NA,NA,NA,42115,41.8205686,-75.80250303
Wayne,2020-08-23T00:00:00Z,0,8,16,25,0,0,0,0,1,0,1,8,2.6,8,10.7,25,0,0,0,0,0.4,0,1.9,8,0,64,NA,NA,NA,NA,42127,41.64969805,-75.3051535
Washington,2020-08-23T00:00:00Z,6,26,56,241,0,0,0,0,5,0,13,61,8.1,31.7,68.8,248.7,0,0,0,0,3.9,0.2,7.9,60.7,23.1,23.2,NA,NA,NA,NA,42125,40.19109663,-80.25180083
Venango,2020-08-23T00:00:00Z,21,47,34,60,0,0,0,0,2,0,0,13,21.6,46.6,31.3,59.9,0,0,0,0,1.8,0,0.1,13,44.7,56.7,NA,NA,NA,NA,42121,41.40341259,-79.76286561
York,2020-08-23T00:00:00Z,23,100,56,503,14,19,0,0,36,5,29,93,18.1,104.6,49.3,515.6,14,19,0,0,30.5,5.1,32.7,93,23,11.1,73.7,NA,NA,NA,42133,39.92192531,-76.72576052
Union,2020-08-23T00:00:00Z,1,9,7,62,8,8,0,0,8,0,0,35,1.4,9.8,12.5,62,8,8,0,0,7.7,0,0.1,30,11.1,11.3,100,NA,NA,NA,42119,40.96473131,-77.06415803
Tioga,2020-08-23T00:00:00Z,3,6,32,46,0,0,0,0,0,0,0,0,2.6,6,30.7,46,0,0,0,0,0,0,0,0,50,69.6,NA,NA,NA,NA,42117,41.77333834,-77.25788076
