player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Theo Pinson,SF,26,DAL,19,0,148,14,39,10,30,4,9,10,10,2,19,17,5,2,5,12
Mason Plumlee,C,31,CHO,73,73,1793,205,320,0,2,205,318,67,171,176,389,226,61,52,100,224
Jakob Poeltl,C,26,SAS,68,67,1970,410,663,1,1,409,662,94,190,262,372,189,45,118,109,212
Aleksej Pokusevski,PF,20,OKC,61,12,1233,186,456,57,197,129,259,35,50,73,245,131,39,38,94,88
Yves Pons,SF,22,MEM,12,0,71,5,16,3,9,2,7,0,2,5,7,1,1,4,1,6
Jordan Poole,SG,22,GSW,76,51,2283,474,1058,211,580,263,478,246,266,34,226,304,60,23,187,206
Kevin Porter Jr.,PG,21,HOU,61,61,1907,335,808,155,413,180,395,124,193,43,224,376,69,22,192,156
Michael Porter Jr.,SF,23,DEN,9,9,265,37,103,10,48,27,55,5,9,9,50,17,10,2,12,16
Otto Porter Jr.,PF,28,GSW,63,15,1396,193,416,80,216,113,200,49,61,86,276,94,68,29,37,83
Bobby Portis,C,26,MIL,72,59,2028,417,871,133,338,284,533,85,113,180,477,86,53,51,90,174
Kristaps Porziņģis,PF,26,DAL,34,34,1002,229,508,49,173,180,335,147,170,64,197,69,25,59,53,88
Kristaps Porziņģis,PF,26,WAS,17,17,479,123,259,29,79,94,180,101,116,38,112,50,12,25,28,49
Micah Potter,C,23,DET,3,0,31,5,11,0,2,5,9,2,2,4,5,0,1,1,1,4
Dwight Powell,C,30,DAL,82,71,1798,269,401,13,37,256,364,166,212,173,231,97,37,39,64,220
Myles Powell,PG,24,PHI,11,0,52,5,17,1,6,4,11,2,2,1,5,3,1,0,3,8
Norman Powell,SF,28,POR,40,39,1333,247,542,93,229,154,313,159,198,17,114,82,40,17,62,92
Norman Powell,SG,28,LAC,5,2,125,32,63,13,24,19,39,30,35,3,11,14,2,4,7,14
Joshua Primo,SG,19,SAS,50,16,965,101,270,42,137,59,133,44,59,32,81,81,20,23,57,79
Taurean Prince,PF,27,MIN,69,8,1177,177,390,86,229,91,161,62,82,26,148,68,47,23,53,116
Payton Pritchard,SG,24,BOS,71,2,1001,160,373,101,245,59,128,21,21,32,102,139,25,6,41,61
Trevelin Queen,SG,24,HOU,10,0,74,15,33,9,24,6,9,4,4,7,9,4,5,1,7,6
Neemias Queta,C,22,SAC,14,0,120,17,38,0,0,17,38,11,17,14,17,6,1,8,6,18
Immanuel Quickley,PG,22,NYK,78,3,1802,284,724,137,396,147,328,177,201,31,216,275,54,3,99,167
Jahmi'us Ramsey,SG,20,SAC,19,0,134,24,58,5,18,19,40,7,14,4,9,7,1,1,5,10
