shot_x,shot_y,shot_distance,shot_type,scoring_play,score_value
-18,21,27.65863337187866,Jump Shot,TRUE,3
-1,2,2.23606797749979,Cutting Layup Shot,TRUE,2
11,23,25.495097567963924,Jump Shot,FALSE,0
-1,1,1.4142135623730951,Driving Layup Shot,FALSE,0
-21,12,24.186773244895647,Jump Shot,FALSE,0
-4,26,26.30589287593181,Pullup Jump Shot,FALSE,0
-22,6,22.80350850198276,Jump Shot,FALSE,0
-17,20,26.248809496813376,Jump Shot,TRUE,3
9,23,24.698178070456937,Pullup Jump Shot,TRUE,3
15,23,27.459060435491963,Jump Shot,FALSE,0
1,11,11.045361017187261,Turnaround Fade Away Jump Shot,FALSE,0
-1,4,4.123105625617661,Cutting Layup Shot,FALSE,0
-2,3,3.605551275463989,Layup Driving Reverse,TRUE,2
21,13,24.698178070456937,Running Jump Shot,FALSE,0
-23,0,23,Jump Shot,TRUE,3
-19,21,28.319604517012593,Jump Shot,FALSE,0
-20,13,23.853720883753127,Jump Shot,TRUE,3
7,27,27.892651361962706,Jump Shot,TRUE,3
19,24,30.610455730027933,Jump Shot,FALSE,0
5,5,7.0710678118654755,Driving Layup Shot,FALSE,0
21,13,24.698178070456937,Running Jump Shot,TRUE,3
15,25,29.154759474226502,Jump Shot,FALSE,0
-11,24,26.40075756488817,Pullup Jump Shot,FALSE,0
3,4,5,Driving Floating Jump Shot,TRUE,2
-17,22,27.80287754891569,Jump Shot,FALSE,0
-3,4,5,Driving Layup Shot,FALSE,0
3,15,15.297058540778355,Pullup Jump Shot,FALSE,0
2,26,26.076809620810597,Step Back Jump Shot,FALSE,0
4,8,8.94427190999916,Running Jump Shot,FALSE,0
12,23,25.942243542145693,Jump Shot,FALSE,0
3,1,3.1622776601683795,Driving Layup Shot,FALSE,0
17,24,29.410882339705484,Jump Shot,TRUE,3
13,27,29.966648127543394,Jump Shot,TRUE,3
-16,22,27.202941017470888,Jump Shot,TRUE,3
-5,5,7.0710678118654755,Driving Layup Shot,FALSE,0
-5,4,6.4031242374328485,Cutting Layup Shot,FALSE,0
-6,25,25.709920264364882,Step Back Jump Shot,TRUE,3
1,1,1.4142135623730951,Driving Layup Shot,TRUE,2
-23,5,23.53720459187964,Jump Shot,FALSE,0
-22,8,23.40939982143925,Step Back Jump Shot,FALSE,0
2,3,3.605551275463989,Driving Floating Bank Jump Shot,TRUE,2
-5,1,5.0990195135927845,Floating Jump Shot,FALSE,0
11,12,16.278820596099706,Pullup Jump Shot,FALSE,0
0,1,1,Driving Layup Shot,FALSE,0
2,7,7.280109889280518,Jump Shot,FALSE,0
-14,22,26.076809620810597,Jump Shot,FALSE,0
23,0,23,Running Jump Shot,TRUE,3
0,5,5,Layup Shot,FALSE,0
-24,6,24.73863375370596,Jump Shot,TRUE,3
-2,1,2.23606797749979,Driving Layup Shot,TRUE,2
4,14,14.560219778561036,Pullup Jump Shot,FALSE,0
-23,5,23.53720459187964,Running Jump Shot,TRUE,3
-13,26,29.068883707497267,Jump Shot,FALSE,0
20,22,29.732137494637012,Jump Shot,TRUE,3
19,15,24.20743687382041,Jump Shot,FALSE,0
-22,8,23.40939982143925,Jump Shot,FALSE,0
-2,1,2.23606797749979,Cutting Layup Shot,FALSE,0
4,1,4.123105625617661,Driving Layup Shot,TRUE,2
18,28,33.28663395418648,Jump Shot,TRUE,3
-13,22,25.553864678361276,Jump Shot,TRUE,3
-3,1,3.1622776601683795,Cutting Layup Shot,FALSE,0
5,23,23.53720459187964,Running Pullup Jump Shot,FALSE,0
-1,15,15.033296378372908,Pullup Jump Shot,FALSE,0
1,1,1.4142135623730951,Layup Shot Putback,TRUE,2
6,5,7.810249675906654,Driving Floating Bank Jump Shot,TRUE,2
2,1,2.23606797749979,Driving Finger Roll Layup,FALSE,0
-17,3,17.26267650163207,Step Back Jump Shot,TRUE,2
-5,4,6.4031242374328485,Driving Floating Bank Jump Shot,TRUE,2
13,27,29.966648127543394,Jump Shot,TRUE,3
-21,13,24.698178070456937,Running Jump Shot,TRUE,3
-2,16,16.1245154965971,Pullup Jump Shot,FALSE,0
-11,23,25.495097567963924,Jump Shot,FALSE,0
-10,22,24.166091947189145,Jump Shot,TRUE,3
-21,13,24.698178070456937,Jump Shot,TRUE,3
-20,13,23.853720883753127,Pullup Jump Shot,TRUE,3
6,28,28.635642126552707,Jump Shot,TRUE,3
1,3,3.1622776601683795,Driving Layup Shot,TRUE,2
-2,2,2.8284271247461903,Cutting Layup Shot,TRUE,2
12,22,25.059928172283335,Jump Shot,FALSE,0
-17,18,24.758836806279895,Jump Shot,FALSE,0
23,-1,23.021728866442675,Jump Shot,TRUE,3
6,24,24.73863375370596,Pullup Jump Shot,FALSE,0
21,10,23.259406699226016,Jump Shot,FALSE,0
-22,7,23.08679276123039,Jump Shot,TRUE,3
-13,26,29.068883707497267,Jump Shot,TRUE,3
-6,1,6.082762530298219,Pullup Jump Shot,FALSE,0
20,12,23.323807579381203,Jump Shot,FALSE,0
-2,9,9.219544457292887,Driving Floating Jump Shot,FALSE,0
0,31,31,Jump Shot,TRUE,3
-16,13,20.615528128088304,Pullup Jump Shot,FALSE,0
-7,24,25,Pullup Jump Shot,TRUE,3
13,23,26.419689627245813,Jump Shot,TRUE,3
-15,22,26.627053911388696,Jump Shot,FALSE,0
2,9,9.219544457292887,Driving Floating Jump Shot,FALSE,0
-1,2,2.23606797749979,Driving Layup Shot,FALSE,0
-14,22,26.076809620810597,Jump Shot,FALSE,0
-4,27,27.294688127912362,Jump Shot,FALSE,0
23,1,23.021728866442675,Jump Shot,TRUE,3
2,1,2.23606797749979,Reverse Layup Shot,TRUE,2
13,24,27.294688127912362,Jump Shot,FALSE,0
-7,30,30.805843601498726,Pullup Jump Shot,FALSE,0
18,17,24.758836806279895,Running Jump Shot,FALSE,0
0,13,13,Running Pullup Jump Shot,FALSE,0
2,1,2.23606797749979,Layup Shot,FALSE,0
-13,24,27.294688127912362,Jump Shot,FALSE,0
13,21,24.698178070456937,Pullup Jump Shot,FALSE,0
-1,7,7.0710678118654755,Driving Floating Jump Shot,TRUE,2
3,8,8.54400374531753,Driving Floating Jump Shot,FALSE,0
11,23,25.495097567963924,Jump Shot,FALSE,0
18,19,26.1725046566048,Jump Shot,TRUE,3
0,26,26,Jump Shot,FALSE,0
6,25,25.709920264364882,Pullup Jump Shot,TRUE,3
11,22,24.596747752497688,Jump Shot,FALSE,0
-20,14,24.413111231467404,Jump Shot,TRUE,3
14,22,26.076809620810597,Jump Shot,FALSE,0
-13,22,25.553864678361276,Jump Shot,FALSE,0
0,9,9,Pullup Jump Shot,FALSE,0
-5,13,13.92838827718412,Pullup Jump Shot,FALSE,0
-3,2,3.605551275463989,Driving Layup Shot,FALSE,0
18,17,24.758836806279895,Jump Shot,TRUE,3
1,1,1.4142135623730951,Driving Finger Roll Layup,TRUE,2
-5,25,25.495097567963924,Pullup Jump Shot,TRUE,3
-23,7,24.041630560342615,Jump Shot,FALSE,0
16,20,25.612496949731394,Jump Shot,FALSE,0
-2,16,16.1245154965971,Jump Shot,TRUE,2
-6,15,16.15549442140351,Pullup Jump Shot,FALSE,0
9,24,25.632011235952593,Jump Shot,TRUE,3
-20,15,25,Running Pullup Jump Shot,TRUE,3
2,0,2,Cutting Layup Shot,TRUE,2
-19,21,28.319604517012593,Jump Shot,FALSE,0
5,25,25.495097567963924,Jump Shot,TRUE,3
-7,18,19.313207915827967,Pullup Jump Shot,FALSE,0
14,21,25.238858928247925,Jump Shot,FALSE,0
-5,1,5.0990195135927845,Driving Layup Shot,FALSE,0
-16,19,24.839484696748443,Jump Shot,TRUE,3
2,1,2.23606797749979,Layup Shot,FALSE,0
3,2,3.605551275463989,Running Layup Shot,FALSE,0
-1,23,23.021728866442675,Pullup Jump Shot,FALSE,0
2,2,2.8284271247461903,Layup Shot,FALSE,0
-21,11,23.706539182259394,Step Back Jump Shot,FALSE,0
13,22,25.553864678361276,Jump Shot,FALSE,0
-21,10,23.259406699226016,Running Jump Shot,TRUE,3
-18,16,24.08318915758459,Pullup Jump Shot,TRUE,3
-5,2,5.385164807134504,Driving Finger Roll Layup,FALSE,0
-18,18,25.45584412271571,Pullup Jump Shot,FALSE,0
-18,18,25.45584412271571,Jump Shot,TRUE,3
0,11,11,Driving Floating Jump Shot,FALSE,0
15,20,25,Running Jump Shot,TRUE,3
23,4,23.345235059857504,Jump Shot,TRUE,3
0,27,27,Jump Shot,FALSE,0
16,24,28.844410203711913,Jump Shot,TRUE,3
11,23,25.495097567963924,Step Back Jump Shot,FALSE,0
-22,11,24.596747752497688,Jump Shot,FALSE,0
-7,9,11.40175425099138,Driving Floating Bank Jump Shot,FALSE,0
-23,3,23.194827009486403,Jump Shot,TRUE,3
7,25,25.96150997149434,Running Pullup Jump Shot,FALSE,0
-5,3,5.830951894845301,Driving Layup Shot,FALSE,0
22,10,24.166091947189145,Jump Shot,FALSE,0
4,25,25.317977802344327,Pullup Jump Shot,FALSE,0
21,14,25.238858928247925,Jump Shot,FALSE,0
1,3,3.1622776601683795,Driving Layup Shot,FALSE,0
-1,2,2.23606797749979,Driving Layup Shot,FALSE,0
-19,15,24.20743687382041,Jump Shot,TRUE,3
-8,25,26.248809496813376,Jump Shot,FALSE,0
-17,16,23.345235059857504,Jump Shot,FALSE,0
2,2,2.8284271247461903,Driving Layup Shot,FALSE,0
-2,25,25.079872407968907,Jump Shot,TRUE,3
-15,20,25,Step Back Jump Shot,FALSE,0
-3,2,3.605551275463989,Layup Driving Reverse,TRUE,2
-11,22,24.596747752497688,Jump Shot,TRUE,3
-2,1,2.23606797749979,Driving Layup Shot,TRUE,2
-17,19,25.495097567963924,Pullup Jump Shot,FALSE,0
-5,18,18.681541692269406,Jump Shot,FALSE,0
18,17,24.758836806279895,Jump Shot,FALSE,0
7,23,24.041630560342615,Step Back Jump Shot,FALSE,0
-2,1,2.23606797749979,Driving Layup Shot,FALSE,0
-15,21,25.80697580112788,Pullup Jump Shot,FALSE,0
-3,0,3,Driving Layup Shot,TRUE,2
0,1,1,Layup Driving Reverse,FALSE,0
13,29,31.78049716414141,Jump Shot,FALSE,0
-23,-1,23.021728866442675,Jump Shot,TRUE,3
-22,17,27.80287754891569,Jump Shot,TRUE,3
0,27,27,Jump Shot,TRUE,3
12,22,25.059928172283335,Pullup Jump Shot,FALSE,0
5,17,17.72004514666935,Jump Shot,FALSE,0
22,17,27.80287754891569,Jump Shot Bank,FALSE,0
8,3,8.54400374531753,Driving Floating Bank Jump Shot,TRUE,2
-11,27,29.154759474226502,Jump Shot,FALSE,0
-14,31,34.0147027033899,Jump Shot,FALSE,0
-14,22,26.076809620810597,Jump Shot,FALSE,0
-13,13,18.384776310850235,Pullup Jump Shot,FALSE,0
-19,17,25.495097567963924,Pullup Jump Shot,FALSE,0
1,2,2.23606797749979,Running Layup Shot,TRUE,2
12,22,25.059928172283335,Jump Shot,TRUE,3
-16,19,24.839484696748443,Jump Shot,TRUE,3
1,3,3.1622776601683795,Driving Layup Shot,TRUE,2
20,16,25.612496949731394,Jump Shot,FALSE,0
-13,23,26.419689627245813,Jump Shot,TRUE,3
12,22,25.059928172283335,Pullup Jump Shot,TRUE,3
-22,9,23.769728648009426,Running Jump Shot,TRUE,3
-20,13,23.853720883753127,Jump Shot,FALSE,0
-6,24,24.73863375370596,Jump Shot,FALSE,0
-18,17,24.758836806279895,Step Back Jump Shot,FALSE,0
-23,12,25.942243542145693,Jump Shot,FALSE,0
11,29,31.016124838541646,Jump Shot,FALSE,0
12,56,57.271284253105414,Jump Shot,FALSE,0
-15,30,33.54101966249684,Jump Shot,FALSE,0
-19,17,25.495097567963924,Jump Shot,TRUE,3
-14,29,32.202484376209235,Jump Shot,TRUE,3
15,32,35.34119409414458,Jump Shot,TRUE,3
13,30,32.69556544854363,Jump Shot,TRUE,3
-15,30,33.54101966249684,Jump Shot,FALSE,0
17,34,38.01315561749642,Pullup Jump Shot,FALSE,0
-16,21,26.40075756488817,Pullup Jump Shot,TRUE,3
0,38,38,Jump Shot,FALSE,0
-1,29,29.017236257093817,Jump Shot,TRUE,3
19,18,26.1725046566048,Running Jump Shot,TRUE,3
23,5,23.53720459187964,Jump Shot,FALSE,0
21,14,25.238858928247925,Jump Shot,FALSE,0
22,11,24.596747752497688,Jump Shot,FALSE,0
0,0,0,Layup Shot Putback,TRUE,2
18,23,29.206163733020468,Running Pullup Jump Shot,TRUE,3
2,3,3.605551275463989,Cutting Layup Shot,TRUE,2
14,20,24.413111231467404,Pullup Jump Shot,TRUE,3
-19,20,27.586228448267445,Jump Shot,TRUE,3
13,24,27.294688127912362,Pullup Jump Shot,FALSE,0
21,15,25.80697580112788,Jump Shot,FALSE,0
0,7,7,Driving Floating Jump Shot,FALSE,0
23,6,23.769728648009426,Jump Shot,FALSE,0
-17,19,25.495097567963924,Jump Shot,TRUE,3
-17,22,27.80287754891569,Jump Shot,FALSE,0
0,-2,2,Driving Finger Roll Layup,FALSE,0
-23,3,23.194827009486403,Jump Shot,TRUE,3
-16,19,24.839484696748443,Jump Shot,FALSE,0
23,0,23,Jump Shot,TRUE,3
-16,21,26.40075756488817,Jump Shot,TRUE,3
22,4,22.360679774997898,Jump Shot,FALSE,0
-2,1,2.23606797749979,Driving Layup Shot,FALSE,0
6,24,24.73863375370596,Jump Shot,FALSE,0
-22,0,22,Jump Shot,TRUE,3
-3,24,24.186773244895647,Jump Shot,FALSE,0
20,16,25.612496949731394,Jump Shot,FALSE,0
19,17,25.495097567963924,Jump Shot,TRUE,3
-7,24,25,Jump Shot,TRUE,3
-13,20,23.853720883753127,Jump Shot,TRUE,3
8,24,25.298221281347036,Jump Shot,FALSE,0
6,23,23.769728648009426,Pullup Jump Shot,TRUE,3
14,20,24.413111231467404,Pullup Jump Shot,FALSE,0
-4,11,11.704699910719626,Pullup Jump Shot,FALSE,0
-3,2,3.605551275463989,Driving Layup Shot,FALSE,0
18,17,24.758836806279895,Jump Shot,FALSE,0
-2,1,2.23606797749979,Running Layup Shot,TRUE,2
9,29,30.364452901377952,Jump Shot,TRUE,3
-5,17,17.72004514666935,Pullup Jump Shot,FALSE,0
-7,13,14.7648230602334,Jump Shot,FALSE,0
-22,9,23.769728648009426,Jump Shot,FALSE,0
-21,11,23.706539182259394,Jump Shot,TRUE,3
23,0,23,Running Jump Shot,FALSE,0
