is_hr,launch_angle,launch_speed,bat_speed,swing_length,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,-14,90.9,64.57144824929104,7.47134,-0.66,0.82,6,1,2,1,1
0,21,97.6,66.59493960415442,6.89001,0.23,2.4,6,1,1,1,1
1,28,99.5,73.72319872363666,7.18334,-0.87,2.12,6,1,1,0,1
0,-61,58.5,66.583386344109,7.90537,-0.38,1.67,6,1,2,1,1
0,22,101,71.52056411853269,6.67907,0.1,2.75,6,0,0,1,0
0,34,76.2,68.5045066184331,7.2867,-1.22,2.15,6,0,2,0,0
0,-5,88,67.69822177845795,7.14489,-1.23,2.27,6,0,1,0,0
0,30,99.1,72.78793604958466,7.80113,0.05,2.82,5,0,0,0,0
0,26,91.8,75.48905855452644,7.57892,-0.59,2.52,5,2,0,0,0
0,39,87.4,77.4639789401131,8.33081,-0.39,2.2,5,2,0,1,0
0,-26,78.4,70.2221393408582,7.35384,0.23,1.45,5,3,1,0,0
0,68,78.1,70.09277405068732,6.87069,0.05,2.55,5,1,1,0,0
0,-16,83.6,72.275633094086,6.92178,-1.03,2.35,4,1,1,1,0
1,42,101,73.1422653337784,8.2954,-0.18,2,4,0,0,0,0
0,11,100.5,66.38370570022245,5.79078,-0.5,2.77,4,1,0,1,0
0,51,89.1,76.23295593799199,8.03105,-0.57,2.05,4,3,1,0,0
0,27,101.7,70.90046883275183,7.68553,-0.57,2.29,4,2,1,1,0
0,53,62.1,65.23525250550968,7.62074,0.25,2.05,4,1,1,1,0
0,-60,60.2,68.61813259466714,6.36222,-0.89,2.47,4,1,2,1,0
0,51,67.5,69.00166422010932,7.48968,-0.99,2.26,4,0,2,0,0
0,76,85.1,78.26638093092168,8.65287,0.07,2.05,3,0,0,1,0
0,29,88.2,67.07649538814672,7.39614,0.42,2.48,3,1,0,0,0
0,25,107.1,74.13142895772181,7.95393,0.12,1.54,3,1,2,1,0
0,12,95.4,66.50114828528098,6.82638,-1.12,2.11,3,1,1,1,0
0,-35,51.4,57.51071485111002,5.15722,-0.87,2.69,3,0,2,0,0
0,0,103.6,70.46797304311445,6.76254,-0.4,2.9,2,0,0,1,0
0,-6,101.3,79.45536277893441,8.41466,0.08,2.49,2,1,0,0,0
0,20,99.8,70.65372368903762,6.82708,-0.25,1.94,2,1,1,1,0
0,-24,95.7,64.05193374578941,6.63922,0.37,1.88,2,1,1,1,0
0,67,83.4,75.58227784624427,8.01208,-0.03,2.03,1,1,0,1,0
0,33,68.2,74.76604453464473,8.27674,-0.06,2.19,1,1,0,0,0
0,3,99.9,73.24188470722562,8.08296,-0.41,1.12,1,1,2,1,0
0,14,93.8,69.35844471179384,6.38542,-0.61,2.84,1,1,1,0,0
0,20,85,75.47863228486501,7.54018,-0.26,1.68,1,0,1,1,0
0,16,79.4,69.32989495270286,7.0704,0.22,1.48,1,1,1,1,0
0,42,107.3,77.10091615944461,8.1152,0.38,2.51,9,0,0,1,0
0,29,80.7,69.68292173522858,8.39771,-0.02,1.46,9,2,1,0,0
0,17,80.9,76.83721114861513,7.97205,0.17,2.1,9,1,0,1,0
0,35,97.2,75.77224650402984,6.68832,0.25,3.43,9,2,0,1,0
0,-9,96.1,64.56978450934757,5.74579,-0.44,2.24,9,3,1,1,0
0,-11,28.8,7.594562381146745,1.24971,-0.24,2.59,9,0,0,0,0
0,21,103.2,77.27496660057298,8.0098,0.14,2.44,9,0,0,0,0
0,-16,70.1,77.25776949106033,7.57475,0.7,3.05,8,0,2,0,0
0,8,89.6,60.28672221136321,5.74004,0.47,3.85,8,1,2,0,0
0,3,106.7,79.18256384382114,7.23705,0.26,2.25,8,1,0,1,0
0,36,96.2,73.19168190603048,7.28592,-0.08,2.85,8,2,2,0,0
0,45,85.4,70.93087720719157,6.48989,-0.86,3.11,8,3,2,1,0
0,-35,54.2,59.669545338197295,8.12171,-0.94,2.05,7,1,2,1,1
0,26,92.4,65.65315153204959,6.10877,-0.51,2.48,7,2,2,0,1
0,63,98.7,64.78806311318769,7.71244,-0.45,2.67,7,3,2,0,1
1,26,98.9,69.36227849126531,7.94627,0.37,2.28,7,0,0,0,1
0,-22,65.9,76.09470749319782,8.51678,0.3,1.92,6,0,0,0,0
0,43,100.3,70.8846351458142,7.17437,-0.09,2.52,6,1,0,1,0
0,60,83.9,69.7828161769111,7.31614,-0.21,2.8,6,3,2,0,0
0,52,57,73.56353707006694,6.22695,0.63,3.15,6,0,0,1,1
0,37,75.8,66.36845042593274,7.57534,0.74,1.63,5,1,2,0,0
0,-22,88.6,68.51626977954689,6.98774,0.73,3.36,5,0,2,1,0
0,18,92.5,65.70085936630481,7.03023,0.44,2.42,5,2,1,1,0
0,49,89.6,72.56027305554036,6.90573,0.16,2.38,5,0,0,1,0
0,-21,86.5,67.70054935895824,6.12256,0.36,3.13,4,0,0,1,0
0,17,104.6,75.10858425770536,7.31006,-0.05,1.58,4,2,1,0,0
0,-24,84.9,72.23940004328709,7.49958,0.69,1.97,4,0,0,0,0
0,33,82.6,74.74629069328023,6.50774,0.59,2.35,4,1,2,1,0
0,-2,99.1,68.9829206086586,6.80147,0.5,2.81,4,3,1,0,0
0,11,96.9,66.66413167097521,7.05116,-0.92,2.58,4,0,1,1,0
0,17,84.3,71.30678586695777,7.02355,-0.18,2.66,4,3,0,0,0
0,22,75.1,71.55275989010768,6.21984,0.09,2.46,4,1,2,1,0
0,-9,77.2,54.50021822849887,6.88267,-0.44,3.43,4,1,1,1,0
0,-4,90,75.23710191509834,8.13714,0.47,1.91,3,3,2,0,0
0,1,92.8,59.99879932027277,6.80899,-0.69,3.05,3,1,2,1,0
0,1,101.9,71.80266760532824,7.53669,0.43,1.98,3,1,0,1,0
0,23,110.5,75.34972771483599,7.65986,0.39,2.97,3,3,1,1,0
0,26,99.3,75.41380723161566,7.43845,0.62,2.28,2,2,0,1,0
0,5,86.2,72.10770899978608,7.83773,-0.21,2.18,2,2,1,0,0
1,26,100.1,72.58276338687278,6.69563,-0.6,2.7,2,0,1,1,0
0,7,98.3,72.56046277836207,7.59525,0.02,2.79,2,1,2,0,0
0,38,72.9,59.961850697720266,5.70012,0.26,3.49,2,1,2,1,0
0,18,91.2,69.49878621045337,6.89386,-0.01,2.33,2,1,2,0,0
0,-8,63.1,66.20949749083108,6.24043,0.31,2.64,2,0,0,1,0
0,-18,96.6,67.89285968455935,6.91224,0.21,2.42,1,0,0,1,0
0,47,98.2,69.23123063350558,7.3352,0.57,2.64,1,1,0,1,0
0,-37,51.8,71.31559199260295,8.11346,-0.02,2.06,1,2,2,1,0
0,18,78.3,68.28902984570153,5.70495,1.24,3.16,9,0,1,1,0
0,19,100.1,65.23480553752293,7.1787,-0.06,2.63,8,0,1,1,0
0,-28,48.8,62.35028758946645,5.65885,-0.72,3.06,8,3,2,0,0
0,33,95.8,68.83736460695536,7.70812,-0.27,2.25,8,1,1,1,0
0,5,79,71.04517933469864,6.98543,-0.36,2.5,8,2,2,0,0
0,29,89.4,58.29727539534556,6.99266,-0.39,1.82,7,1,2,1,1
1,35,104.4,70.97504025388164,7.62095,0.21,3.16,7,0,0,0,1
0,-2,93.1,58.642319752078215,7.26042,-0.57,2.13,7,2,2,1,1
0,21,65.7,71.77891376892033,6.71791,-0.59,2.33,7,3,2,0,0
0,23,97.6,69.87799027978117,7.33891,-0.44,1.87,7,1,2,1,0
0,28,75.4,69.36505106168535,7.06469,-0.53,3.32,7,2,0,0,0
0,16,105.8,77.17964874696159,7.50186,0.18,2.77,7,1,0,1,0
0,53,86.3,78.90104051552167,7.54663,-0.32,1.76,7,0,0,1,0
0,31,90.6,74.2538091310635,8.04001,0.61,1.53,6,0,1,0,1
0,14,80.8,65.84160673001452,5.85972,0.4,2.46,6,2,2,1,1
0,35,94.9,70.44717995178763,7.397,-0.15,2.45,6,1,2,0,1
0,30,88.2,61.95653531403832,7.10643,-1.05,2.53,6,1,2,1,0
0,41,93.3,70.04183898353178,6.82627,0.7,2.65,5,2,0,1,1
0,12,106.5,75.21924464566258,7.79404,0.7,2.66,5,0,1,0,1
0,-51,21.2,11.7301864421733,2.30617,0.39,1.79,5,0,0,0,1
0,-2,101.4,74.84221289864493,6.58804,0.07,2,5,3,2,1,1
0,-2,86.1,71.510030601063,7.39769,0.26,2.87,5,1,1,0,0
0,68,76.9,66.2302299958719,6.46408,-0.04,3.13,5,1,0,1,0
0,-2,87.2,62.049241248865634,5.67943,-0.42,3.47,5,2,2,0,0
0,-15,93.1,71.9205555582499,7.65422,0.17,2.78,4,0,0,0,1
0,-37,76.1,80.86306995487178,8.11188,0.17,1.84,4,0,0,0,1
0,14,87.8,75.85284468044382,7.72619,-1.1,2.52,4,2,2,1,0
0,-8,87.5,74.9439105721075,7.87864,0.59,1.79,3,1,2,0,1
0,1,95.1,69.04770999325177,6.73608,-0.47,2.64,3,1,1,0,1
0,3,103.2,72.87255936200226,6.66074,0.5,1.94,3,0,2,1,1
0,-24,82.8,53.77818177723998,6.86165,-1.47,3.14,3,1,2,1,0
0,1,105.5,78.93564577582853,7.51854,0.36,2.51,2,3,1,1,1
0,-18,76.3,71.29883281520146,7.74743,0.57,2.13,2,0,0,0,1
0,18,108.8,75.47824944178379,7.19586,0.08,2.48,2,0,0,1,1
0,-5,89.8,67.2143113765663,6.81318,-0.23,2.39,2,0,0,0,0
0,68,86.8,72.1825116363761,8.03802,0.08,1.47,1,1,1,0,1
0,1,104.5,69.91406199453344,6.63976,0.84,2.79,1,1,1,0,1
0,13,82,61.47023492263303,6.22079,0.64,2.89,1,0,1,1,0
0,47,84.1,75.77319100276404,7.4035,0.36,2.33,1,0,2,1,0
0,8,110.1,76.34617699748019,7.21697,-0.14,2.27,1,1,0,0,0
0,1,92.5,77.10798915925061,7.13111,-0.9,2.01,9,1,1,1,0
0,-20,92.7,73.88982343263109,7.3612,0.06,1.85,9,0,2,1,0
0,-15,97.7,65.57374438933596,6.90716,0.32,2.82,9,1,1,0,0
0,33,70.7,63.9280817615878,8.15619,1.33,2.09,9,2,2,0,0
0,30,89.9,68.56273795295455,6.8514099999999996,-0.29,2.4,8,1,0,0,1
0,17,105.1,75.70875948147054,8.3306,-0.3,1.98,8,2,1,1,1
0,42,82.2,71.39941930691599,6.64897,0.13,3.04,8,2,1,1,1
0,79,84.9,78.40168723336849,7.897,-0.05,2.19,8,3,2,1,0
1,30,102.4,74.92512826611909,7.96329,0.16,1.6,8,2,1,1,0
0,-18,67.3,70.90354905194486,8.32009,0.65,1.24,7,1,0,0,0
0,-46,61.1,63.52775002159331,5.29753,-1.06,3.28,7,0,1,0,0
0,25,93.1,72.73062185132657,7.09902,-0.25,2.96,7,2,1,1,0
0,25,92.1,69.475068911338,7.71381,0.95,2.03,7,1,1,0,0
0,41,79.7,68.48354054570841,8.59693,0.73,1.99,6,0,0,0,0
0,35,72.1,61.15480213172943,7.07331,0.94,2.24,6,1,2,0,0
0,41,98.5,67.56178715040464,6.53872,-0.34,2.81,6,1,0,1,0
0,64,77.9,74.79328042996089,9.12297,0.38,1.75,6,3,1,0,0
0,-6,99.9,72.46948111676198,7.05403,-0.43,1.86,6,1,1,0,0
0,35,67.6,67.53463963107379,5.99849,-0.44,2.71,6,2,2,0,1
0,-23,47.3,32.12230798345615,6.04837,0.28,1.39,5,3,2,0,0
0,14,81,74.36732741777422,6.73914,0.41,2.7,5,0,0,1,0
0,-1,93.7,65.04899644921421,7.84868,-0.35,1.74,5,0,0,0,0
