county,date,cases,cases_avg_new,cases_cume,cases_rate,cases_avg_new_rate,cases_cume_rate,deaths,deaths_avg_new,deaths_cume,population,deaths_rate,deaths_avg_new_rate,deaths_cume_rate,longitude,latitude
Susquehanna,2020-04-02T00:00:00Z,1,0.4,4,2.5,1.1,9.9,0,0,0,40328,0,0,0,-75.80250303,41.8205686
Wyoming,2020-04-02T00:00:00Z,1,0.3,2,3.7,1.1,7.5,0,0,0,26794,0,0,0,-76.01813003,41.51892488
Venango,2020-04-02T00:00:00Z,0,0.4,3,0,0.8,5.9,0,0,0,50668,0,0,0,-79.76286561,41.40341259
Wayne,2020-04-02T00:00:00Z,7,2.3,21,13.6,4.5,40.9,0,0,0,51361,0,0,0,-75.3051535,41.64969805
Westmoreland,2020-04-02T00:00:00Z,27,11.3,109,7.7,3.2,31.2,0,0,0,348899,0,0,0,-79.47134118,40.310315
Somerset,2020-04-02T00:00:00Z,0,0.1,3,0,0.2,4.1,0,0,0,73447,0,0,0,-79.03100206,39.97146299
McKean,2020-04-03T00:00:00Z,0,0,1,0,0,2.5,0,0,0,40625,0,0,0,-78.5712202,41.81037074
Cambria,2020-04-03T00:00:00Z,2,0.7,6,1.5,0.5,4.6,0,0,0,130192,0,0,0,-78.71894174,40.49127491
Bedford,2020-04-03T00:00:00Z,0,0.4,3,0,0.9,6.3,0,0,0,47888,0,0,0,-78.49116474,40.00737536
Allegheny,2020-04-03T00:00:00Z,71,47.4,549,5.8,3.9,45.1,4,0.7,6,1216045,0.33,0.06,0.49,-79.98619843,40.46735543
Centre,2020-04-03T00:00:00Z,7,3.4,40,4.3,2.1,24.6,0,0,0,162385,0,0,0,-77.82500112,40.9193135
Clinton,2020-04-03T00:00:00Z,0,0.3,2,0,0.7,5.2,0,0,0,38632,0,0,0,-77.642837599999993,41.23286274
Columbia,2020-04-03T00:00:00Z,6,2.4,21,9.2,3.7,32.3,0,0,0,64964,0,0,0,-76.4100218,41.04912086
Clarion,2020-04-03T00:00:00Z,0,0.4,4,0,1.1,10.4,0,0,0,38438,0,0,0,-79.42483608,41.19279129
Adams,2020-04-03T00:00:00Z,2,2,22,1.9,1.9,21.4,0,0,0,103009,0,0,0,-77.22224271,39.87209565
Crawford,2020-04-03T00:00:00Z,0,0.4,5,0,0.5,5.9,0,0,0,84629,0,0,0,-80.11321083,41.68546907
Armstrong,2020-04-03T00:00:00Z,1,1.6,13,1.5,2.4,20.1,1,0.1,1,64735,1.54,0.22,1.54,-79.47316899,40.81509526
Butler,2020-04-03T00:00:00Z,9,6.3,85,4.8,3.3,45.2,0,0,1,187853,0,0,0.53,-79.91711779,40.91083185
Berks,2020-04-03T00:00:00Z,35,24.6,237,8.3,5.8,56.3,3,1,8,421164,0.71,0.24,1.9,-75.93077327,40.41939635
Delaware,2020-04-03T00:00:00Z,73,55,623,12.9,9.7,109.9,3,1.7,17,566747,0.53,0.3,3,-75.40627712,39.91657867
Bradford,2020-04-03T00:00:00Z,2,1,10,3.3,1.7,16.6,0,0,0,60323,0,0,0,-76.51825624,41.79117814
Dauphin,2020-04-03T00:00:00Z,19,10.9,100,6.8,3.9,35.9,0,0.1,1,278299,0,0.05,0.36,-76.77960568,40.41974636
Fayette,2020-04-03T00:00:00Z,3,1.9,23,2.3,1.4,17.8,0,0.1,1,129274,0,0.11,0.77,-79.65189635,39.9194478
Beaver,2020-04-03T00:00:00Z,3,8,78,1.8,4.9,47.6,2,1,7,163929,1.22,0.61,4.27,-80.35107356,40.68349245
Clearfield,2020-04-03T00:00:00Z,2,0.7,7,2.5,0.9,8.8,0,0,0,79255,0,0,0,-78.47558343,41.000429
Blair,2020-04-03T00:00:00Z,1,0.4,5,0.8,0.4,4.1,0,0,0,121829,0,0,0,-78.34907687,40.48555024
Cameron,2020-04-03T00:00:00Z,0,0,1,0,0,22.5,0,0,0,4447,0,0,0,-78.20916932,41.43880265
Cumberland,2020-04-03T00:00:00Z,9,4.9,56,3.6,1.9,22.1,0,0.1,1,253370,0,0.06,0.39,-77.26866271,40.16759839
Chester,2020-04-03T00:00:00Z,27,20.3,252,5.1,3.9,48,1,0.6,4,524989,0.19,0.11,0.76,-75.75626498,39.97487056
Erie,2020-04-03T00:00:00Z,2,1.7,23,0.7,0.6,8.5,0,0,0,269728,0,0,0,-80.0407591,41.99413787
Carbon,2020-04-03T00:00:00Z,12,6.1,46,18.7,9.6,71.7,1,0.3,2,64182,1.56,0.45,3.12,-75.71107039,40.91936701
Elk,2020-04-03T00:00:00Z,0,0,0,0,0,0,0,0,0,29910,0,0,0,-78.64947713,41.42819416
Franklin,2020-04-03T00:00:00Z,2,2.7,26,1.3,1.8,16.8,0,0,0,155027,0,0,0,-77.72398845,39.92786197
Forest,2020-04-03T00:00:00Z,1,0.3,2,13.8,3.9,27.6,0,0,0,7247,0,0,0,-79.23780995,41.51357876
Bucks,2020-04-03T00:00:00Z,62,50.7,509,9.9,8.1,81,3,1.7,13,628270,0.48,0.27,2.07,-75.11291241,40.33501133
Lawrence,2020-04-03T00:00:00Z,3,2.6,28,3.5,3,32.7,0,0.1,2,85512,0,0.17,2.34,-80.33754114,40.99325035
Huntingdon,2020-04-03T00:00:00Z,1,0.4,4,2.2,0.9,8.9,0,0,0,45144,0,0,0,-77.9827661,40.416105
Mercer,2020-04-03T00:00:00Z,4,1.1,14,3.7,1,12.8,0,0,0,109424,0,0,0,-80.26009411,41.30237777
Jefferson,2020-04-03T00:00:00Z,0,0,0,0,0,0,0,0,0,43425,0,0,0,-79.00101814,41.13139091
Pike,2020-04-03T00:00:00Z,15,10.3,100,26.9,18.4,179.2,0,0.1,2,55809,0,0.26,3.58,-75.03270924,41.332572
Lycoming,2020-04-03T00:00:00Z,1,1,9,0.9,0.9,7.9,0,0,0,113299,0,0,0,-77.06942457,41.34459792
Monroe,2020-04-03T00:00:00Z,93,55,492,54.6,32.3,289,2,1,12,170271,1.17,0.59,7.05,-75.34083603,41.06091787
Lehigh,2020-04-03T00:00:00Z,220,99.6,806,59.6,27,218.2,2,0.4,7,369318,0.54,0.12,1.9,-75.60099481,40.61464794
Perry,2020-04-03T00:00:00Z,1,0.6,5,2.2,1.2,10.8,0,0.1,1,46272,0,0.31,2.16,-77.25907385,40.40415317
Juniata,2020-04-03T00:00:00Z,2,0.9,7,8.1,3.5,28.3,0,0,0,24763,0,0,0,-77.405775,40.53433008
Lancaster,2020-04-03T00:00:00Z,57,35.7,292,10.4,6.5,53.5,2,0.6,6,545724,0.37,0.1,1.1,-76.25138768,40.04590796
